Team,Rating,Games,FirstMatchDate,StartRating
Mapuche,2300,2,2022-06-17,2300
Tamil Eelam,2300,24,2012-06-05,2300
Saugeais,2299,1,2013-06-29,2300
Délvidék,2298,2,2016-08-01,2300
West Papua,2298,1,2022-11-13,2300
Benin,2296,321,1959-11-08,2300
Sealand,2294,12,2004-05-15,2300
Uganda,2293,685,1926-05-01,2300
Western Sahara,2292,5,2012-06-04,2300
Matabeleland,2292,8,2018-05-31,2300
Madrid,2292,1,2013-06-07,2300
Chameria,2291,7,2019-06-02,2300
Cilento,2290,1,2011-12-29,2300
Luhansk PR,2290,6,2015-05-05,2300
Kabylia,2290,6,2018-05-31,2300
Somaliland,2290,6,2014-05-17,2300
Ryūkyū,2290,1,2016-11-26,2300
Belarus,2290,311,1928-08-17,2300
Seborga,2290,1,2014-08-10,2300
Yoruba Nation,2289,2,2022-05-21,2300
Gambia,2289,264,1953-02-09,2300
Kuwait,2288,683,1963-01-06,2300
Republic of St. Pauli,2287,4,2006-05-29,2300
Hmong,2286,3,2023-08-04,2300
Fiji,2286,267,1951-10-07,2300
Martinique,2285,329,1931-02-11,2300
Indonesia,2284,721,1934-05-13,2300
Niue,2283,2,1983-08-20,2300
Zanzibar,2283,209,1947-09-18,2300
South Yemen,2282,3,1982-11-21,2300
Chechnya,2281,3,2005-05-03,2300
Aymara,2280,2,2022-06-18,2300
Sápmi,2279,29,2006-11-20,2300
Romani people,2278,7,2007-06-07,2300
Kenya,2278,703,1926-05-01,2300
Monaco,2277,24,2000-06-11,2300
Ticino,2276,2,2023-06-17,2300
Palau,2274,2,1987-03-06,2300
Vanuatu,2273,213,1951-10-04,2300
Shetland,2272,58,1989-07-06,2300
Găgăuzia,2271,3,2006-11-19,2300
Mozambique,2271,374,1975-06-25,2300
Székely Land,2269,27,2014-11-08,2300
El Salvador,2269,610,1921-09-14,2300
Manchukuo,2268,3,1939-09-03,2300
North Vietnam,2268,24,1956-10-04,2300
Comoros,2268,148,1979-08-26,2300
Greenland,2268,77,1980-07-02,2300
Tajikistan,2267,199,1992-06-17,2300
Marshall Islands,2267,2,2025-08-14,2300
Dominican Republic,2265,156,1949-05-14,2300
Western Isles,2264,34,2005-07-11,2300
Solomon Islands,2264,212,1963-08-30,2300
Kyrgyzstan,2264,187,1956-08-03,2300
Saarland,2263,9,1953-06-24,2300
Two Sicilies,2261,6,2010-05-31,2300
Gotland,2260,30,1999-06-27,2300
Sark,2260,4,2003-06-29,2300
Papua New Guinea,2260,155,1963-08-29,2300
Madagascar,2260,317,1947-02-15,2300
Saint Barthélemy,2258,10,2010-07-03,2300
Vatican City,2256,7,2002-11-23,2300
Equatorial Guinea,2255,176,1975-05-23,2300
Togo,2253,443,1956-10-06,2300
Ambazonia,2252,6,2005-06-23,2300
Vietnam Republic,2250,195,1956-05-03,2300
Guyana,2250,311,1905-07-21,2300
Barawa,2250,12,2016-08-25,2300
Provence,2250,19,1921-04-03,2300
Mayotte,2250,38,2001-11-20,2300
Zimbabwe,2249,493,1946-06-16,2300
Nicaragua,2249,219,1929-05-01,2300
Armenia,2247,269,1979-07-21,2300
Micronesia,2247,7,1999-06-05,2300
Mauritania,2245,268,1961-12-25,2300
Rwanda,2245,278,1976-07-03,2300
Raetia,2241,26,2011-12-04,2300
Lebanon,2241,333,1940-04-27,2300
Sudan,2239,469,1956-11-16,2300
Western Australia,2239,32,1967-08-10,2300
Sierra Leone,2237,298,1949-10-08,2300
Kazakhstan,2237,265,1979-08-04,2300
Darfur,2236,7,2012-06-04,2300
Niger,2236,256,1961-12-25,2300
Orkney,2235,28,2001-07-08,2300
Estonia,2234,546,1920-10-17,2300
Namibia,2234,277,1989-05-16,2300
Tanzania,2232,597,1945-03-28,2300
Saint Helena,2232,8,2019-06-12,2300
Saint Pierre and Miquelon,2231,7,2010-09-22,2300
Malawi,2227,641,1957-08-28,2300
Luxembourg,2227,465,1911-10-29,2300
Yemen DPR,2226,25,1972-01-01,2300
Chagos Islands,2224,16,2011-12-04,2300
Botswana,2223,330,1968-07-13,2300
French Guiana,2218,179,1936-01-01,2300
Azerbaijan,2213,306,1979-07-24,2300
Turkmenistan,2213,175,1992-06-01,2300
Cuba,2210,395,1930-03-16,2300
Ethiopia,2210,407,1947-12-05,2300
Kiribati,2209,11,1979-08-30,2300
Hitra,2209,23,1997-06-29,2300
Saint Vincent and the Grenadines,2205,234,1961-01-16,2300
Burundi,2203,217,1953-09-19,2300
Liberia,2200,298,1961-12-25,2300
Wallis Islands and Futuna,2192,24,1966-12-11,2300
Hong Kong,2189,444,1953-04-05,2300
Cyprus,2187,422,1949-07-30,2300
Congo,2186,406,1960-04-14,2300
